time,agent_id,cash_balance,reputation_score,revenue,costs,action_type,capacity_mw,utilization_rate,capex_budget
0.0,amazon,180000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
1.0,amazon,360000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
2.0,amazon,540000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
3.0,amazon,720000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
4.0,amazon,900000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
5.0,amazon,1080000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
6.0,amazon,1260000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
7.0,amazon,1440000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
8.0,amazon,1620000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
9.0,amazon,1800000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
10.0,amazon,1980000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
11.0,amazon,2160000000.0,1.0,300000000.0,120000000.0,hyperscaler_operations,4000,0.75,65000000000.0
