time,agent_id,cash_balance,reputation_score,revenue,costs,action_type,capacity_mw,utilization_rate,capex_budget
0.0,google,112500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
1.0,google,225000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
2.0,google,337500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
3.0,google,450000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
4.0,google,562500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
5.0,google,675000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
6.0,google,787500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
7.0,google,900000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
8.0,google,1012500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
9.0,google,1125000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
10.0,google,1237500000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
11.0,google,1350000000.0,1.0,187500000.0,75000000.0,hyperscaler_operations,2500,0.75,35000000000.0
