time,agent_id,cash_balance,reputation_score,revenue,costs,action_type,capacity_mw,utilization_rate,capex_budget
0.0,meta,81000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
1.0,meta,162000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
2.0,meta,243000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
3.0,meta,324000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
4.0,meta,405000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
5.0,meta,486000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
6.0,meta,567000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
7.0,meta,648000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
8.0,meta,729000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
9.0,meta,810000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
10.0,meta,891000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
11.0,meta,972000000.0,1.0,135000000.0,54000000.0,hyperscaler_operations,1800,0.75,28000000000.0
